#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,James Harden,61,36.7,34.4,9.9,22.7,43.5,4.4,12.6,35.2,10.1,11.8,86.1,1,5.3,6.4,7.4,1.7,0.9,4.5,31.8
2,Bradley Beal,57,36,30.5,10.4,22.9,45.5,3,8.4,35.3,6.8,8,84.2,0.9,3.3,4.2,6.1,1.2,0.4,3.4,25.4
3,Giannis Antetokounmpo,57,30.9,29.6,10.9,20,54.7,1.5,4.8,30.6,6.3,10,63.3,2.3,11.5,13.7,5.8,1,1,3.7,34.8
4,Trae Young,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8,9.3,86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,26.6
5,Damian Lillard,58,36.9,28.9,9.2,20,45.7,3.9,9.9,39.4,6.7,7.6,88.8,0.5,3.8,4.3,7.8,1,0.4,2.9,27.8
6,Luka Doncic,54,33.3,28.7,9.5,20.6,46.1,2.9,9.1,31.8,6.8,9.1,75.2,1.3,8,9.3,8.7,1.1,0.2,4.2,30.4
7,Russell Westbrook,53,35.9,27.5,10.7,22.6,47.4,1,3.8,25.4,5.1,6.5,77.7,1.8,6.3,8,7,1.7,0.3,4.5,26.7
8,Kawhi Leonard,51,32.2,26.9,9.3,19.9,46.9,2.1,5.7,36.6,6.1,6.9,88.9,1,6.3,7.3,5,1.8,0.6,2.7,27.5
9,Anthony Davis,55,34.3,26.7,9.2,18.1,51.1,1.2,3.5,33.5,7,8.3,84.5,2.3,7.1,9.4,3.1,1.5,2.4,2.5,30.5
10,Devin Booker,62,36.1,26.1,8.8,18,48.7,2,5.6,36,6.5,7.1,91.6,0.4,3.7,4.2,6.6,0.7,0.3,3.9,24
11,LeBron James,60,34.9,25.7,9.8,19.6,49.8,2.2,6.4,34.9,4,5.7,69.7,1,6.9,7.9,10.6,1.2,0.5,4,30.4
12,Zach LaVine,60,34.8,25.5,9,20,45,3.1,8.1,38,4.5,5.6,80.2,0.7,4.1,4.8,4.2,1.5,0.5,3.4,21
13,Brandon Ingram,56,34.3,24.3,8.4,18,46.6,2.4,6.3,38.7,5.1,5.9,85.8,0.9,5.4,6.3,4.3,1,0.7,3.1,22.9
14,Donovan Mitchell,63,34.4,24.2,8.9,19.6,45.3,2.5,6.8,36.4,4,4.6,85.9,0.7,3.7,4.4,4.2,1,0.2,2.7,20
15,Pascal Siakam,53,35.5,23.6,8.7,18.9,45.9,2.2,6,35.9,4.2,5.2,80,1.1,6.5,7.5,3.6,1,0.9,2.5,23
16,Jayson Tatum,59,34.6,23.6,8.5,18.9,44.8,2.8,7.1,39.8,3.8,4.7,80.6,1,6.1,7.1,2.9,1.4,0.9,2.2,22.3
17,D'Angelo Russell,45,32.3,23.1,8,18.8,42.6,3.5,9.6,36.7,3.6,4.4,80.9,0.4,3.6,3.9,6.3,1.1,0.3,3.3,19.8
18,CJ McCollum,62,36,22.5,8.9,19.5,45.3,2.8,7.4,38,2,2.6,75,0.7,3.4,4.1,4.3,0.7,0.6,1.9,19.1
19,DeMar DeRozan,61,34.3,22.2,8.2,15.7,52.6,0.1,0.5,26.7,5.5,6.6,84.3,0.6,5,5.6,5.6,1,0.2,2.4,23.8
20,Andrew Wiggins,54,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5,70.9,1.2,3.9,5.1,3.7,0.8,1,2.4,18.4
21,Kemba Walker,50,31.8,21.2,7,16.6,42.1,3.3,8.8,37.7,3.9,4.5,86.7,0.7,3.4,4.1,4.9,0.9,0.5,2.1,19.3
22,Khris Middleton,55,30.1,21.1,7.7,15.5,49.9,2.4,5.8,41.8,3.2,3.6,90.8,0.7,5.5,6.2,4.1,0.9,0.1,2.1,22.3
23,Collin Sexton,65,33,20.8,7.9,16.7,47.2,1.5,3.9,38,3.5,4.1,84.6,0.9,2.2,3.1,3,1,0.1,2.4,16.1
